user,user_location,text,favorite_count,retweet_count
RaelDeal,,"RT @5Agenda21: Take no notice of this scaremongering truth - the vaccine is 100% safe, death is just one of the side effects

Norway urgent…",0,277
Winona Simons,Washington Oasis in the Desert,"RT @JoeBiden: To get as many people vaccinated as quickly as possible, we need more clinics across the nation. That’s why my administration…",0,4454
TOI Vijaywada,,GGH sanitation worker gets first Covid vaccine shot in Andhra Pradesh https://t.co/NBSGpWiBdj,0,0
IATSE 212 Calgary,"Calgary, Alberta",IATSE – ‘Let’s Open Up Music Venues For COVID Testing’ – via @Variety https://t.co/uqFqBmXkMy,1,0
12 News,"Arizona, USA","Confidence and trust in the COVID vaccine are low among Latinos, even as the virus has disproportionately impacted the community.  https://t.co/8W0ON8u7lP",0,0
"“Based” Witty Analysis, No Solutions",,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Dina Tsagaris,,RT @FatEmperor: It's a bugger when the main cohort who need protection are the ones maybe not able to get it. One wonders where this is goi…,0,19
Allan Shipham,Northampton,"RT @OzraeliAvi: I bet their death certificates list COVID as the cause of death.

Helps them sell more.

https://t.co/jiysSaLInd",0,30
Ricky Arriola,"Miami Beach, FL",RT @FatEmperor: It's a bugger when the main cohort who need protection are the ones maybe not able to get it. One wonders where this is goi…,0,19
Danielle Gonsalves,,"RT @pbhushan1: ""A total 23 people died within days of receiving their first dose, the Norwegian Medicines Agency announced in a statement"".…",0,1302
andy saultz,"Portland, OR",Really thorough overview of COVID vaccine. NEJM — Covid-19 Vaccine Frequently Asked Questions (FAQ) #covid ⁦@NEJM⁩  https://t.co/2BjEtqIPVf,0,0
Monica Chopra Jagtap,"Mumbai, India","RT @NasharatM: @PMOIndia The Lie Lama.
I would urge PM to take covid vaccine first and set examples like many other country leaders.
Also a…",0,29
STK,USA,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
Paramjeet & (PHEEKU RAFI24TH DEC),"West Bengal, India","DYNAMIC PM MODIJI MUST BE CONGRATULATED BY ONE AND ALL FOR IMPLEMENTING COVID 19 VACCINE IN ENTIRE INDIA ON 16.1.2021 STARTING WITH FRONT LINE WARRIORS WHO HAD SERVED SELFLESSLY AS A DUTY.

CONGRATS INDIAN SCIENTISTS FOR INVENTING CHEAPEST COVID VACCINE FOR INDIA &amp; ENTIRE WORLD!! https://t.co/768o7aaXv7",0,0
James Faber,Worldwide,RT @michaeljknowles: Well that's not good. https://t.co/HAQlNdhGcu,0,43
